date,contest,problem,result,time_minutes,tags,review,notes,explanation_path
2026-06-28,abc441,b,AC,7,"累積和",n,"vectorのインデックス番号に注意する",""
2026-06-30,abc407,b,AC,10,"全探索",y,"fixed と setprecision で固定小数点表記の表示を操れる",""
2026-07-02,abc460,b,WA,15,"その他",y,"",""
2026-07-02,abc444,b,AC,5,"基数",n,"",""
2026-07-03,abc454,b,AC,7,"",n,"index番号に気をつける",""
2026-07-03,abc447,b,giveup,7,"文字列",y,"文字コードの引き算を使えるようにする","problems/abc447/b/explanation.md"
2026-07-05,abc451,b,AC,7,"",n,"",""
2026-07-05,abc461,b,AC,10,"",n,"",""
2026-07-09,abc429,b,AC,5,"なし",n,"",""
2026-07-10,abc405,c,AC,10,"累積和",n,"計算時間に注意",""
2026-07-10,abc435,c,AC,20,"",n,"区切りを動かす",""
2026-07-11,abc455,c,giveup,20,"",n,"連想配列を使う",""
2026-07-13,abc426,b,AC,7,"",n,"",""
2026-07-13,abc417,c,giveup,20,"",n,"連想配列を用いる",""
2026-07-16,abc421,b,AC,10,"",n,"",""
2026-07-19,abc463,c,WA,30,"二分探索",y,"upper_boundを用いた二分探索","problems/abc463/c/explanation.md"
2026-07-19,abc344,c,AC,20,"二分探索",n,"二分探索の練習(lower_bound)",""
2026-07-19,abc353,c,giveup,20,"二分探索",y,"二分探索って最初に言われてないと絶対思いつかん","problems/abc353/c/explanation.md"
2026-07-20,abc465,b,AC,7,"",n,"",""
2026-07-20,abc460,c,WA,15,"尺取り法",y,"惜しかった","problems/abc460/c/reference.md"
2026-07-22,abc398,c,giveup,30,"連想配列",y,"","problems/abc398/c/reference.md"
2026-07-26,abc408,c,giveup,30,"",y,"",""
2026-07-27,abc466,b,AC,10,"",n,"",""
2026-07-27,abc440,b,AC,7,"",,"",""
2026-07-31,abc462,b,giveup,15,"",y,"",""
2026-07-31,abc442,b,AC,10,"",n,"",""
2026-08-01,abc453,b,AC,10,"",n,"",""
2026-08-01,abc413,c,MLE,15,"キュー",y,"メモリでエラー","problems/abc413/c/reference.md"
2026-08-01,abc433,b,AC,7,"",n,"",""
2026-08-01,abc378,c,AC,15,"map",n,"同じ値が直前に現れた位置をmapで保存する",""
2026-08-01,abc398,c,AC,20,"map",n,"「その数の登場回数」をmapでカウント",""
2026-08-03,abc403,c,giveup,20,"set",y,"方針立たず","problems/abc403/c/reference.md"
2026-08-06,abc469,b,AC,10,"",n,"各条件を変数でおくとわかりやすい",""
2026-08-06,abc435,b,AC,20,"",n,"問題設定が地味にややこしい",""
2026-08-06,abc167,c,AC,30,"bit全探索",n,"2^nのパターンの全探索にはbit全探索を用いる",""
2026-08-06,abc085,c,AC,20,"全探索",n,"forループを3重ではな重にできる",""
2026-08-07,abc358,c,AC,15,"bit全探索",n,"bit全探索の作法を覚える",""
2026-08-07,abc374,c,AC,15,"bit全探索",n,"",""
2026-08-09,abc145,c,AC,20,"数え上げ",n,"結局それぞれの距離が何回足されるかを考える",""
2026-08-09,abc380,c,giveup,30,"ランレングス圧縮？",n,"実装方針から違うっぽい","problems/abc380/c/reference.md"
2026-08-10,abc389,c,AC,25,"累積和",n,"","problems/abc389/c/reference.md"
2026-08-10,abc368,c,AC,20,"計算量削減",n,"",""
2026-08-12,abc470,b,AC,7,"",n,"",""
2026-08-12,abc381,c,TLE,25,"",y,"計算量の削減方法がわからない","problems/abc381/c/reference.md"
2026-08-13,abc370,c,giveup,20,"文字列操作",y,"辞書順に並べるのが分からん",""
2026-08-14,abc468,c,giveup,20,"",y,"N!通りを試す実装方法が分からない",""
2026-08-14,abc468,c,AC,10,"string",n,"[retry: 2026-08-14 giveup] 辞書順はpermutation_searchを使う","problems/abc468/c/reference.md"
2026-08-14,abc451,c,AC,20,"map",y,"優先度つきキューを用いた",""
